"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","52.11.74.226","192.168.178.25","TLSv1.2","97","Encrypted Alert"
"2","0.000022000","192.168.178.25","52.11.74.226","TCP","66","43844 > https [ACK] Seq=1 Ack=32 Win=342 Len=0 TSval=13166 TSecr=729782977"
"3","0.000112000","192.168.178.25","52.11.74.226","TCP","66","43844 > https [FIN, ACK] Seq=1 Ack=32 Win=342 Len=0 TSval=13166 TSecr=729782977"
"4","0.212770000","52.11.74.226","192.168.178.25","TCP","66","https > 43844 [FIN, ACK] Seq=32 Ack=2 Win=84 Len=0 TSval=729783030 TSecr=13166"
"5","0.212791000","192.168.178.25","52.11.74.226","TCP","66","43844 > https [ACK] Seq=2 Ack=33 Win=342 Len=0 TSval=13219 TSecr=729783030"
"6","0.323292000","192.168.178.25","192.168.178.1","DNS","69","Standard query 0x6167  A yahoo.com"
"7","0.352859000","192.168.178.1","192.168.178.25","DNS","117","Standard query response 0x6167  A 206.190.36.45 A 98.139.183.24 A 98.138.253.109"
"8","0.353087000","192.168.178.25","206.190.36.45","TCP","74","35057 > http [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=13254 TSecr=0 WS=128"
"9","0.544545000","206.190.36.45","192.168.178.25","TCP","66","http > 35057 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1452 SACK_PERM=1 WS=256"
"10","0.544566000","192.168.178.25","206.190.36.45","TCP","54","35057 > http [ACK] Seq=1 Ack=1 Win=29312 Len=0"
"11","0.544632000","192.168.178.25","206.190.36.45","HTTP","375","GET / HTTP/1.1 "
"12","0.738980000","206.190.36.45","192.168.178.25","TCP","60","http > 35057 [ACK] Seq=1 Ack=322 Win=15872 Len=0"
"13","0.739581000","206.190.36.45","192.168.178.25","HTTP","720","HTTP/1.1 301 Redirect  (text/html)"
"14","0.739590000","192.168.178.25","206.190.36.45","TCP","54","35057 > http [ACK] Seq=322 Ack=667 Win=30592 Len=0"
"15","0.740084000","206.190.36.45","192.168.178.25","TCP","60","http > 35057 [FIN, ACK] Seq=667 Ack=322 Win=15872 Len=0"
"16","0.740139000","192.168.178.25","192.168.178.1","DNS","73","Standard query 0x8343  A www.yahoo.com"
"17","0.740212000","192.168.178.25","206.190.36.45","TCP","54","35057 > http [FIN, ACK] Seq=322 Ack=668 Win=30592 Len=0"
"18","0.772809000","192.168.178.1","192.168.178.25","DNS","132","Standard query response 0x8343  CNAME fd-fp3.wg1.b.yahoo.com A 46.228.47.114 A 46.228.47.115"
"19","0.773040000","192.168.178.25","46.228.47.114","TCP","74","59769 > https [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=13359 TSecr=0 WS=128"
"20","0.827129000","46.228.47.114","192.168.178.25","TCP","74","https > 59769 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1452 SACK_PERM=1 TSval=3982553680 TSecr=13359 WS=256"
"21","0.827148000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=13372 TSecr=3982553680"
"22","0.827265000","192.168.178.25","46.228.47.114","TLSv1.2","253","Client Hello"
"23","0.883679000","46.228.47.114","192.168.178.25","TCP","66","https > 59769 [ACK] Seq=1 Ack=188 Win=15616 Len=0 TSval=3982553736 TSecr=13372"
"24","0.884874000","46.228.47.114","192.168.178.25","TLSv1.2","1506","Server Hello"
"25","0.884887000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=188 Ack=1441 Win=32128 Len=0 TSval=13387 TSecr=3982553737"
"26","0.887133000","46.228.47.114","192.168.178.25","TCP","1506","[TCP segment of a reassembled PDU]"
"27","0.887144000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=188 Ack=2881 Win=35072 Len=0 TSval=13387 TSecr=3982553737"
"28","0.887245000","46.228.47.114","192.168.178.25","TCP","1282","[TCP segment of a reassembled PDU]"
"29","0.887257000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=188 Ack=4097 Win=37888 Len=0 TSval=13387 TSecr=3982553737"
"30","0.894226000","46.228.47.114","192.168.178.25","TLSv1.2","1506","Certificate"
"31","0.894237000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=188 Ack=5537 Win=40832 Len=0 TSval=13389 TSecr=3982553747"
"32","0.896445000","46.228.47.114","192.168.178.25","TLSv1.2","1559","Certificate Status"
"33","0.896457000","192.168.178.25","46.228.47.114","TCP","66","59769 > https [ACK] Seq=188 Ack=7030 Win=43776 Len=0 TSval=13390 TSecr=3982553747"
"34","0.899988000","192.168.178.25","46.228.47.114","TLSv1.2","228","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
